壋,kSimplifiedVariant,垱
壓,kSimplifiedVariant,压
壘,kSimplifiedVariant,垒
壙,kSimplifiedVariant,圹
壚,kSimplifiedVariant,垆
壞,kSimplifiedVariant,坏
壟,kSimplifiedVariant,垄
壠,kSimplifiedVariant,垅
壢,kSimplifiedVariant,坜
壩,kSimplifiedVariant,坝
壯,kSimplifiedVariant,壮
壺,kSimplifiedVariant,壶
壼,kSimplifiedVariant,壸
壽,kSimplifiedVariant,寿
夠,kSimplifiedVariant,够
夢,kSimplifiedVariant,梦
夾,kSimplifiedVariant,夹
奐,kSimplifiedVariant,奂
奧,kSimplifiedVariant,奥
奩,kSimplifiedVariant,奁
奪,kSimplifiedVariant,夺
奮,kSimplifiedVariant,奋
奼,kSimplifiedVariant,姹
妝,kSimplifiedVariant,妆
姍,kSimplifiedVariant,姗
姦,kSimplifiedVariant,奸
娛,kSimplifiedVariant,娱
婁,kSimplifiedVariant,娄
婦,kSimplifiedVariant,妇
婭,kSimplifiedVariant,娅
媧,kSimplifiedVariant,娲
媯,kSimplifiedVariant,妫
媰,kSimplifiedVariant,㛀
媼,kSimplifiedVariant,媪
媽,kSimplifiedVariant,妈
嫗,kSimplifiedVariant,妪
嫵,kSimplifiedVariant,妩
嫻,kSimplifiedVariant,娴
嫿,kSimplifiedVariant,婳
嬃,kSimplifiedVariant,媭
嬈,kSimplifiedVariant,娆
嬋,kSimplifiedVariant,婵
嬌,kSimplifiedVariant,娇
嬙,kSimplifiedVariant,嫱
嬡,kSimplifiedVariant,嫒
嬤,kSimplifiedVariant,嬷
嬪,kSimplifiedVariant,嫔
嬰,kSimplifiedVariant,婴
嬸,kSimplifiedVariant,婶
孋,kSimplifiedVariant,㛤
孌,kSimplifiedVariant,娈
孫,kSimplifiedVariant,孙
學,kSimplifiedVariant,学
孿,kSimplifiedVariant,孪
宮,kSimplifiedVariant,宫
寢,kSimplifiedVariant,寝
實,kSimplifiedVariant,实
寧,kSimplifiedVariant,宁
審,kSimplifiedVariant,审
